Tweet ID,Username,Content,Created At,User Location,Filtered Location
1217946637907169280,CZacharopoulou,Échange constructif avec du groupe #ACP pour l'accord #postCotonou. Un partenariat   ambitieux entre #EU &amp; pays #ACP est essentiel pour relever nos défis communs! 🌍🇪🇺 #Afrique #ClimateChange #YOUTH @EP_Development @PressACP @europeaid @tomastobe https://t.co/lIvgNs1eMs,2020-01-16 23:08:01+00:00,France,France
1217946109349449728,Maxloyal,"35 years of climate change in 125 seconds
 https://t.co/x2xeZh6zRx via @YouTube",2020-01-16 23:05:55+00:00,Sweden,Sweden
1216147180072964098,V_omnia_V,"https://t.co/l2cvs1IWs4 #climat ""#climatechange"" #ClimateChangeHoax #folie #demence #Paris #France #geoingenierie #ciel #soleil",2020-01-11 23:57:37+00:00,"Lons le Saunier, France",France
1216146487316566016,gkalarritis,"The solution to climate change will be technological or there will be no solution at all, writes philosophy of science professor, Maarten Boudry. https://t.co/URg9vkbBIh",2020-01-11 23:54:52+00:00,"Athens, Greece",Greece
1216146053159968775,marco_esg,"World's largest asset manager @blackrock recognizes impacts of climate change &amp; joins investor group seeking GHG emission curbs. OK news for the #ESGinvesting world, but let's wait for concrete actions taken. https://t.co/TrCQya4MUe
#sustainability #circulareconomy #climatechange",2020-01-11 23:53:08+00:00,Italy & China,Italy
1216145798578176000,WiebeWkkr,"Is there no freedom of press in Australia? It strikes me that I haven't heard a single journalist ask Morrison decent questions re climate change and Gov's policy. They all offer the PM a photo op to spread his PR lies. 

Are Aussie journo's refused to ask questions?",2020-01-11 23:52:07+00:00,"Haarlem, Netherlands",Netherlands
1216145438438457345,ufoandromeda,"Right now in Germany ... was clean abd beautiful.... and they start to spray... its sick and those who doing fake ""climate change"" are sick.... https://t.co/P6XvPCvVq0",2020-01-11 23:50:42+00:00,Croatia,Croatia
1216145355680686082,ChabbiAbad,"Dear colleagues, 
The deadline of abstract submission for @EGU_BioGeo  is 15 January 2020 – I invite you to submit relevant abstracts as soon as possible to the session BG3.24 #soil #carbon linked to global change Co-organized by SSS5.   #ClimateChange #drought #flooding",2020-01-11 23:50:22+00:00,"Ile-de-France, France",France
1216144631160889345,TheBrianMcManus,@Rubberbandits One of the lads saying it’s not real science is a climate change denier.  We failed those lads by not teaching them about cognitive/gender biases too. Never got so much hate as when I promoted a female engineer in one of my videos.,2020-01-11 23:47:29+00:00,"Austin, Texas/Galway, Ireland",Ireland
1216144530170417153,Jahangir_Vs,"@realDonaldTrump I hope SANDERS win US presidential election, and the world get rid of you lier! (Answer from an Iranian climate change ecologist)",2020-01-11 23:47:05+00:00,"Kiel, Germany",Germany
1216144296086294531,Jahangir_Vs,"@realDonaldTrump I hope SANDERS win US presidential election, and the world get rid of you! (Answer from an Iranian climate change ecologist)",2020-01-11 23:46:09+00:00,"Kiel, Germany",Germany
1215761896760139777,Sustainable2050,"President Macron of France: 
""I repeat: We will not sign trade agreements with countries not honoring the #ParisAgreement on climate action.""",2020-01-10 22:26:38+00:00,Netherlands,Netherlands
1216141055344680960,FlorianDRX,"[ 🤖 https://t.co/i50o8g2zPd] [#climate, livestream] @HAW_Hamburg 7th Climate Change Online Conference #CLIMATE2020  at https://t.co/K50FzMXxDg from March 23, 2020 at 12:00AM to March 31, 2020 at 12:00AM More info: https://t.co/K50FzMXxDg",2020-01-11 23:33:17+00:00,"Brussels, Belgium",Belgium
1216141048361164807,jacob_o_,"@opieie @MeatInstitute @thehill 1. No one's ever said the climate wouldn't change anyway. 
2. Yes - it has changed before, been warmer before. But this time it warms up TOO FAST. The times you're referring to, chenges took 10k-100k+ years, eco systems had the time to adapt. Not this time. And it IS us.",2020-01-11 23:33:15+00:00,Gothenburg,Sweden
1216140723470336002,pacsta11,"Top story: #aprendizajeytalento aconventional: On Climate Change https://t.co/ugrpsDQ18l, see more https://t.co/fkHotBFC0A",2020-01-11 23:31:57+00:00,Madrid,Spain
1216139928913969153,ianjpatterson,Brilliant theological perspective for Christians on climate change and Australian fires in particular.,2020-01-11 23:28:48+00:00,Belfast Glasgow Spain Aberdeen,Spain
1216139864112082945,EngineerDiet,@heroicsnail @GodDamChinaMan @SkyNews Climate change deniers are bad. People spreading the anti-nuclear or the green vegan narrative are worse. They are a Trojan horse attacking environmentalism from the inside in the most dispiccable of ways. In comparison climate change deniers are quite harmless.,2020-01-11 23:28:33+00:00,Netherlands,Netherlands
1216138306825617408,Luis_I_Gomez,"I'm reading, and I recommend you read, this article by @RogerPielkeJr and @RyanMaue -&gt;

What 50 Years Of Global Hurricane Landfall Data Can Teach Us About Climate Change via @forbes https://t.co/kWZcyqoimO",2020-01-11 23:22:21+00:00,"Leipzig, Germany",Germany
1215987073313841152,Niall_Boylan,"“Climate change has not caused the current fire crisis,” says Australian Capital Territory forester and former acting fire control officer Ian McArthur. These people deal with this every year, not the Hollywood celebrities. This new ideology is getting pathetic now.",2020-01-11 13:21:24+00:00,"Dublin, Belfast",Ireland
1213972372245688328,YoucefZYX,"@Coltheman1 And become socialists this will change the weather too....

According to the climate nutters",2020-01-05 23:55:42+00:00,"Ghent, Belgium",Belgium
1213880716796342273,EmmanuelMacron,"Solidarité avec le peuple australien face aux incendies qui ravagent leur pays. Ce matin, j’ai appelé @ScottMorrisonMP pour offrir notre aide opérationnelle immédiate pour lutter contre les feux, protéger la population et préserver la biodiversité.",2020-01-05 17:51:30+00:00,France,France
1213970708818251779,alynnfarrelly,"@LibertyBella9 @KamalaHarris Again, no one is saying climate change starts fires but rather makes them more INTENSE, larger, harder to tackle.

Whilst an arsonist may START a bushfire, climate change makes the deadly fires more INTENSE; which is what the article is about. Intensifying. 

Don't be so obtuse.",2020-01-05 23:49:06+00:00,Ireland,Ireland
1213970383877136386,joehas,"“He won an election last year by depicting climate change as the exclusive concern of educated city-dwellers, and climate policy as a threat to cars and trucks. Australia’s people might rally to reverse these dangers. Instead, they have elected leaders with other priorities”",2020-01-05 23:47:48+00:00,"Madrid, Spain",Spain
1213970018091913216,DSuurlant,"@Raidenshred These kinds of articles are reverse propaganda, aimed to make you dislike climate change discourse. And it's working.

Netflix doesn't cause climate breakdown, but it helps the actual big polluters if you think so.",2020-01-05 23:46:21+00:00,"Rotterdam, The Netherlands",Netherlands
1212523824215924736,manwithoutatan,"The devastation in Australia right now FAR exceeds the Amazon fires or the California fires by MANY ORDERS OF MAGNITUDE, and there is no expectation that it will recede for at least several more months. In parts of Sydney, breathing the air is equivalent to a pack of cigarettes.",2020-01-01 23:59:41+00:00,Germany,Germany
1213968737520553985,pervetastic,Putin dying for all the ice to melt so he can plant wheat in siberia and drill the arctic. Russia announces plan to ‘use the advantages’ of climate change https://t.co/yXSvx3P9b2,2020-01-05 23:41:16+00:00,Porto,Portugal
1213968011230617608,Weldoninhio,@pjgallagher What science PJ? You got a report to hand that proves climate change is man made?,2020-01-05 23:38:22+00:00,"Dublin, Ireland",Ireland
